zip,mean_household_income,income_bracket
02128,120120,Upper Middle Income ($100k-$200k)
02129,207976,High Income (>$200k)
02130,168114,Upper Middle Income ($100k-$200k)
02131,146819,Upper Middle Income ($100k-$200k)
02132,179925,Upper Middle Income ($100k-$200k)
02133,N,Unknown
02134,102013,Upper Middle Income ($100k-$200k)
02135,111304,Upper Middle Income ($100k-$200k)
02136,116121,Upper Middle Income ($100k-$200k)
02138,197176,Upper Middle Income ($100k-$200k)
02139,178274,Upper Middle Income ($100k-$200k)
02140,184387,Upper Middle Income ($100k-$200k)
02141,159947,Upper Middle Income ($100k-$200k)
02142,205435,High Income (>$200k)
02143,166291,Upper Middle Income ($100k-$200k)
02144,185686,Upper Middle Income ($100k-$200k)
02145,150284,Upper Middle Income ($100k-$200k)
02148,123027,Upper Middle Income ($100k-$200k)
02149,106889,Upper Middle Income ($100k-$200k)
02150,92358,Middle Income ($50k-$100k)
02151,108688,Upper Middle Income ($100k-$200k)
02152,142417,Upper Middle Income ($100k-$200k)
02155,161916,Upper Middle Income ($100k-$200k)
02163,117353,Upper Middle Income ($100k-$200k)
02169,118136,Upper Middle Income ($100k-$200k)
02170,122590,Upper Middle Income ($100k-$200k)
02171,149397,Upper Middle Income ($100k-$200k)
02176,161490,Upper Middle Income ($100k-$200k)
02180,149707,Upper Middle Income ($100k-$200k)
02184,153311,Upper Middle Income ($100k-$200k)
02186,229518,High Income (>$200k)
02188,133043,Upper Middle Income ($100k-$200k)
02189,129855,Upper Middle Income ($100k-$200k)
02190,133507,Upper Middle Income ($100k-$200k)
02191,130599,Upper Middle Income ($100k-$200k)
02199,236585,High Income (>$200k)
02203,-,Unknown
02205,-,Unknown
02210,248895,High Income (>$200k)
02215,98394,Middle Income ($50k-$100k)
02301,101593,Upper Middle Income ($100k-$200k)
02302,115001,Upper Middle Income ($100k-$200k)
02322,131872,Upper Middle Income ($100k-$200k)
02324,140298,Upper Middle Income ($100k-$200k)
02325,N,Unknown
02330,126531,Upper Middle Income ($100k-$200k)
02332,231965,High Income (>$200k)
02333,170901,Upper Middle Income ($100k-$200k)
02338,134560,Upper Middle Income ($100k-$200k)
02339,219351,High Income (>$200k)
02341,168118,Upper Middle Income ($100k-$200k)
02343,128310,Upper Middle Income ($100k-$200k)
02346,113365,Upper Middle Income ($100k-$200k)
02347,156582,Upper Middle Income ($100k-$200k)
02350,124575,Upper Middle Income ($100k-$200k)
02351,140893,Upper Middle Income ($100k-$200k)
02356,176712,Upper Middle Income ($100k-$200k)
02357,-,Unknown
02359,166228,Upper Middle Income ($100k-$200k)
02360,139866,Upper Middle Income ($100k-$200k)
02364,145049,Upper Middle Income ($100k-$200k)
02366,-,Unknown
02367,154336,Upper Middle Income ($100k-$200k)
02368,135926,Upper Middle Income ($100k-$200k)
02370,132382,Upper Middle Income ($100k-$200k)
02375,157698,Upper Middle Income ($100k-$200k)
02379,137312,Upper Middle Income ($100k-$200k)
02382,122237,Upper Middle Income ($100k-$200k)
02420,333248,High Income (>$200k)
02421,294354,High Income (>$200k)
02445,223821,High Income (>$200k)
02446,193233,Upper Middle Income ($100k-$200k)
02451,159258,Upper Middle Income ($100k-$200k)
02452,145132,Upper Middle Income ($100k-$200k)
02453,137835,Upper Middle Income ($100k-$200k)
02457,-,Unknown
02458,211805,High Income (>$200k)
02459,309238,High Income (>$200k)
02460,236726,High Income (>$200k)
02461,286926,High Income (>$200k)
02462,242523,High Income (>$200k)
02464,178684,Upper Middle Income ($100k-$200k)
02465,290237,High Income (>$200k)
02466,235702,High Income (>$200k)
02467,264831,High Income (>$200k)
02468,402283,High Income (>$200k)
02472,160262,Upper Middle Income ($100k-$200k)
02474,204910,High Income (>$200k)
02476,222337,High Income (>$200k)
02478,246939,High Income (>$200k)
02481,411739,High Income (>$200k)
02482,311876,High Income (>$200k)
02492,297758,High Income (>$200k)
02493,411085,High Income (>$200k)
02494,262273,High Income (>$200k)
02532,111823,Upper Middle Income ($100k-$200k)
02534,214108,High Income (>$200k)
02535,233686,High Income (>$200k)
02536,137110,Upper Middle Income ($100k-$200k)
02537,154238,Upper Middle Income ($100k-$200k)
02538,116084,Upper Middle Income ($100k-$200k)
02539,281025,High Income (>$200k)
02540,131840,Upper Middle Income ($100k-$200k)
02542,75655,Middle Income ($50k-$100k)
02543,135311,Upper Middle Income ($100k-$200k)
02553,N,Unknown
02554,207738,High Income (>$200k)
02556,163176,Upper Middle Income ($100k-$200k)
02557,204109,High Income (>$200k)
02558,100475,Upper Middle Income ($100k-$200k)
02559,114544,Upper Middle Income ($100k-$200k)
02561,98745,Middle Income ($50k-$100k)
02562,147834,Upper Middle Income ($100k-$200k)
02563,156848,Upper Middle Income ($100k-$200k)
02564,123398,Upper Middle Income ($100k-$200k)
02568,148020,Upper Middle Income ($100k-$200k)
02571,116647,Upper Middle Income ($100k-$200k)
02575,230429,High Income (>$200k)
02576,102534,Upper Middle Income ($100k-$200k)
02584,N,Unknown
02601,81085,Middle Income ($50k-$100k)
02630,181559,Upper Middle Income ($100k-$200k)
02631,154054,Upper Middle Income ($100k-$200k)
02632,137164,Upper Middle Income ($100k-$200k)
02633,193799,Upper Middle Income ($100k-$200k)
02635,171773,Upper Middle Income ($100k-$200k)
02637,166115,Upper Middle Income ($100k-$200k)
02638,144821,Upper Middle Income ($100k-$200k)
02639,97843,Middle Income ($50k-$100k)
02641,90172,Middle Income ($50k-$100k)
02642,106258,Upper Middle Income ($100k-$200k)
02643,-,Unknown
02644,127173,Upper Middle Income ($100k-$200k)
02645,132619,Upper Middle Income ($100k-$200k)
02646,138206,Upper Middle Income ($100k-$200k)
02647,202252,High Income (>$200k)
02648,137426,Upper Middle Income ($100k-$200k)
02649,133295,Upper Middle Income ($100k-$200k)
02650,208540,High Income (>$200k)
02652,149286,Upper Middle Income ($100k-$200k)
02653,156356,Upper Middle Income ($100k-$200k)
02655,216935,High Income (>$200k)
02657,166378,Upper Middle Income ($100k-$200k)
02659,123387,Upper Middle Income ($100k-$200k)
02660,110219,Upper Middle Income ($100k-$200k)
02663,191165,Upper Middle Income ($100k-$200k)
02664,113664,Upper Middle Income ($100k-$200k)
02666,141744,Upper Middle Income ($100k-$200k)
02667,153025,Upper Middle Income ($100k-$200k)
02668,126658,Upper Middle Income ($100k-$200k)
02670,140301,Upper Middle Income ($100k-$200k)
02671,188007,Upper Middle Income ($100k-$200k)
02672,-,Unknown
02673,102699,Upper Middle Income ($100k-$200k)
02675,138299,Upper Middle Income ($100k-$200k)
02702,150950,Upper Middle Income ($100k-$200k)
02703,118404,Upper Middle Income ($100k-$200k)
02713,127530,Upper Middle Income ($100k-$200k)
02715,150531,Upper Middle Income ($100k-$200k)
02717,143648,Upper Middle Income ($100k-$200k)
02718,126892,Upper Middle Income ($100k-$200k)
02719,131002,Upper Middle Income ($100k-$200k)
02720,77170,Middle Income ($50k-$100k)
02721,72472,Middle Income ($50k-$100k)
02723,71261,Middle Income ($50k-$100k)
02724,69759,Middle Income ($50k-$100k)
02725,206410,High Income (>$200k)
02726,122748,Upper Middle Income ($100k-$200k)
02738,237564,High Income (>$200k)
02739,164671,Upper Middle Income ($100k-$200k)
02740,72366,Middle Income ($50k-$100k)
02743,120720,Upper Middle Income ($100k-$200k)
02744,68581,Middle Income ($50k-$100k)
02745,88816,Middle Income ($50k-$100k)
02746,57072,Middle Income ($50k-$100k)
02747,123433,Upper Middle Income ($100k-$200k)
02748,153899,Upper Middle Income ($100k-$200k)
02760,137960,Upper Middle Income ($100k-$200k)
02762,126678,Upper Middle Income ($100k-$200k)
02763,142442,Upper Middle Income ($100k-$200k)
02764,151938,Upper Middle Income ($100k-$200k)
02766,155111,Upper Middle Income ($100k-$200k)
02767,148465,Upper Middle Income ($100k-$200k)
02769,156281,Upper Middle Income ($100k-$200k)
02770,137866,Upper Middle Income ($100k-$200k)
